Height: 28
Width: 28
Neuron: 256
Training Configuration:
  Output Directory:         output/20240311-144708
  Model Directory:          output/20240311-144708/models
  Image Directory:          output/20240311-144708/images
  Save Checkpoints:         No
  Optimizer:                adam
  Gen LR:                   0.0002
  Dis LR:                   0.0002
  Epochs:                   200
Epoch: 0, D Loss: 0.2878, G Loss: 16.4685
Epoch: 55, D Loss: 0.7725, G Loss: 1.7972
Epoch: 56, D Loss: 0.7950, G Loss: 1.7283
Epoch: 57, D Loss: 0.7936, G Loss: 1.7253
Epoch: 58, D Loss: 0.7965, G Loss: 1.7059
Epoch: 59, D Loss: 0.8037, G Loss: 1.6901
Epoch: 60, D Loss: 0.7957, G Loss: 1.7123
Epoch: 61, D Loss: 0.8102, G Loss: 1.6612
Epoch: 62, D Loss: 0.7918, G Loss: 1.7123
Epoch: 63, D Loss: 0.8049, G Loss: 1.6813
Epoch: 64, D Loss: 0.8110, G Loss: 1.6670
Epoch: 65, D Loss: 0.8175, G Loss: 1.6540
Epoch: 66, D Loss: 0.8070, G Loss: 1.6535
Epoch: 67, D Loss: 0.8162, G Loss: 1.6412
Epoch: 68, D Loss: 0.8186, G Loss: 1.6538
Epoch: 69, D Loss: 0.8111, G Loss: 1.6675
Epoch: 70, D Loss: 0.8179, G Loss: 1.6301
Epoch: 71, D Loss: 0.8270, G Loss: 1.6141
Epoch: 72, D Loss: 0.8282, G Loss: 1.5959
Epoch: 73, D Loss: 0.8256, G Loss: 1.6105
Epoch: 74, D Loss: 0.8305, G Loss: 1.5893
Epoch: 75, D Loss: 0.8309, G Loss: 1.6001
Epoch: 76, D Loss: 0.8217, G Loss: 1.5924
Epoch: 77, D Loss: 0.8242, G Loss: 1.6008
Epoch: 78, D Loss: 0.8362, G Loss: 1.5793
Epoch: 79, D Loss: 0.8241, G Loss: 1.5800
Epoch: 80, D Loss: 0.8256, G Loss: 1.5851
Epoch: 81, D Loss: 0.8294, G Loss: 1.5893
Epoch: 82, D Loss: 0.8388, G Loss: 1.5592
Epoch: 83, D Loss: 0.8353, G Loss: 1.5608
Epoch: 84, D Loss: 0.8327, G Loss: 1.5741
Epoch: 85, D Loss: 0.8371, G Loss: 1.5618
Epoch: 86, D Loss: 0.8324, G Loss: 1.5649
Epoch: 87, D Loss: 0.8435, G Loss: 1.5385
Epoch: 88, D Loss: 0.8458, G Loss: 1.5399
Epoch: 89, D Loss: 0.8472, G Loss: 1.5279
Epoch: 90, D Loss: 0.8401, G Loss: 1.5381
Epoch: 91, D Loss: 0.8420, G Loss: 1.5353
Epoch: 92, D Loss: 0.8481, G Loss: 1.5220
Epoch: 93, D Loss: 0.8454, G Loss: 1.5330
Epoch: 94, D Loss: 0.8423, G Loss: 1.5228
Epoch: 95, D Loss: 0.8460, G Loss: 1.5245
Epoch: 96, D Loss: 0.8448, G Loss: 1.5254
Epoch: 97, D Loss: 0.8493, G Loss: 1.5144
Epoch: 98, D Loss: 0.8551, G Loss: 1.5051
Epoch: 99, D Loss: 0.8513, G Loss: 1.5053
Epoch: 100, D Loss: 0.8461, G Loss: 1.5132
Epoch: 101, D Loss: 0.8503, G Loss: 1.5071
Epoch: 102, D Loss: 0.8500, G Loss: 1.5132
Epoch: 103, D Loss: 0.8483, G Loss: 1.5046
Epoch: 104, D Loss: 0.8518, G Loss: 1.4979
Epoch: 105, D Loss: 0.8494, G Loss: 1.4998
Epoch: 106, D Loss: 0.8558, G Loss: 1.4911
Epoch: 107, D Loss: 0.8462, G Loss: 1.5048
Epoch: 108, D Loss: 0.8562, G Loss: 1.4916
Epoch: 109, D Loss: 0.8551, G Loss: 1.4933
Epoch: 110, D Loss: 0.8584, G Loss: 1.4851
Epoch: 111, D Loss: 0.8535, G Loss: 1.4915
Epoch: 112, D Loss: 0.8492, G Loss: 1.5070
Epoch: 113, D Loss: 0.8555, G Loss: 1.4880
Epoch: 114, D Loss: 0.8515, G Loss: 1.4846
Epoch: 115, D Loss: 0.8574, G Loss: 1.4849
Epoch: 116, D Loss: 0.8505, G Loss: 1.4905
Epoch: 117, D Loss: 0.8470, G Loss: 1.4980
Epoch: 118, D Loss: 0.8548, G Loss: 1.4839
Epoch: 119, D Loss: 0.8514, G Loss: 1.4846
Epoch: 120, D Loss: 0.8582, G Loss: 1.4735
Epoch: 121, D Loss: 0.8557, G Loss: 1.4772
Epoch: 122, D Loss: 0.8540, G Loss: 1.4784
Epoch: 123, D Loss: 0.8474, G Loss: 1.4947
Epoch: 124, D Loss: 0.8574, G Loss: 1.4749
Epoch: 125, D Loss: 0.8552, G Loss: 1.4718
Epoch: 126, D Loss: 0.8571, G Loss: 1.4695
Epoch: 127, D Loss: 0.8570, G Loss: 1.4715
Epoch: 128, D Loss: 0.8499, G Loss: 1.4892
Epoch: 129, D Loss: 0.8564, G Loss: 1.4716
Epoch: 130, D Loss: 0.8600, G Loss: 1.4754
Epoch: 131, D Loss: 0.8591, G Loss: 1.4638
Epoch: 132, D Loss: 0.8624, G Loss: 1.4614
Epoch: 133, D Loss: 0.8573, G Loss: 1.4645
Epoch: 134, D Loss: 0.8584, G Loss: 1.4659
Epoch: 135, D Loss: 0.8571, G Loss: 1.4612
Epoch: 136, D Loss: 0.8579, G Loss: 1.4702
Epoch: 137, D Loss: 0.8597, G Loss: 1.4621
Epoch: 138, D Loss: 0.8611, G Loss: 1.4486
Epoch: 139, D Loss: 0.8635, G Loss: 1.4500
Epoch: 140, D Loss: 0.8568, G Loss: 1.4642
Epoch: 141, D Loss: 0.8572, G Loss: 1.4586
Epoch: 142, D Loss: 0.8528, G Loss: 1.4710
Epoch: 143, D Loss: 0.8588, G Loss: 1.4592
Epoch: 144, D Loss: 0.8599, G Loss: 1.4515
Epoch: 145, D Loss: 0.8672, G Loss: 1.4473
Epoch: 146, D Loss: 0.8617, G Loss: 1.4597
Epoch: 147, D Loss: 0.8556, G Loss: 1.4578
Epoch: 148, D Loss: 0.8580, G Loss: 1.4680
Epoch: 149, D Loss: 0.8540, G Loss: 1.4582
Epoch: 150, D Loss: 0.8569, G Loss: 1.4633
Epoch: 151, D Loss: 0.8557, G Loss: 1.4649
Epoch: 152, D Loss: 0.8579, G Loss: 1.4484
Epoch: 153, D Loss: 0.8607, G Loss: 1.4527
Epoch: 154, D Loss: 0.8591, G Loss: 1.4617
Epoch: 155, D Loss: 0.8607, G Loss: 1.4542
Epoch: 156, D Loss: 0.8647, G Loss: 1.4487
Epoch: 157, D Loss: 0.8663, G Loss: 1.4468
Epoch: 158, D Loss: 0.8626, G Loss: 1.4432
Epoch: 159, D Loss: 0.8610, G Loss: 1.4499
Epoch: 160, D Loss: 0.8664, G Loss: 1.4446
Epoch: 161, D Loss: 0.8621, G Loss: 1.4455
Epoch: 162, D Loss: 0.8572, G Loss: 1.4483
Epoch: 163, D Loss: 0.8528, G Loss: 1.4613
Epoch: 164, D Loss: 0.8556, G Loss: 1.4608
Epoch: 165, D Loss: 0.8612, G Loss: 1.4515
Epoch: 166, D Loss: 0.8626, G Loss: 1.4483
Epoch: 167, D Loss: 0.8696, G Loss: 1.4246
Epoch: 168, D Loss: 0.8671, G Loss: 1.4452
Epoch: 169, D Loss: 0.8654, G Loss: 1.4506
Epoch: 170, D Loss: 0.8628, G Loss: 1.4496
Epoch: 171, D Loss: 0.8669, G Loss: 1.4304
Epoch: 172, D Loss: 0.8585, G Loss: 1.4500
Epoch: 173, D Loss: 0.8648, G Loss: 1.4428
Epoch: 174, D Loss: 0.8616, G Loss: 1.4546
Epoch: 175, D Loss: 0.8662, G Loss: 1.4459
Epoch: 176, D Loss: 0.8719, G Loss: 1.4284
Epoch: 177, D Loss: 0.8613, G Loss: 1.4466
Epoch: 178, D Loss: 0.8657, G Loss: 1.4321
Epoch: 179, D Loss: 0.8654, G Loss: 1.4473
Epoch: 180, D Loss: 0.8633, G Loss: 1.4456
Epoch: 181, D Loss: 0.8697, G Loss: 1.4377
Epoch: 182, D Loss: 0.8619, G Loss: 1.4368
Epoch: 183, D Loss: 0.8655, G Loss: 1.4395
Epoch: 184, D Loss: 0.8681, G Loss: 1.4273
Epoch: 185, D Loss: 0.8611, G Loss: 1.4361
Epoch: 186, D Loss: 0.8622, G Loss: 1.4515
Epoch: 187, D Loss: 0.8632, G Loss: 1.4369
Epoch: 188, D Loss: 0.8660, G Loss: 1.4285
Epoch: 189, D Loss: 0.8664, G Loss: 1.4376
Epoch: 190, D Loss: 0.8628, G Loss: 1.4380
Epoch: 191, D Loss: 0.8639, G Loss: 1.4300
Epoch: 192, D Loss: 0.8604, G Loss: 1.4441
Epoch: 193, D Loss: 0.8632, G Loss: 1.4353
Epoch: 194, D Loss: 0.8664, G Loss: 1.4355
Epoch: 195, D Loss: 0.8593, G Loss: 1.4404
Epoch: 196, D Loss: 0.8658, G Loss: 1.4300
Epoch: 197, D Loss: 0.8596, G Loss: 1.4398
Epoch: 198, D Loss: 0.8669, G Loss: 1.4288
Epoch: 199, D Loss: 0.8672, G Loss: 1.4335
